idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
84,label,gun control,brady bill,criminals,ban,firearm,prisoner survey,violent crimes,protection,gun-control laws,,,,,,,,,,,
85,multipartiterank,whites,blacks,infection,study today,tb bacteria,percent,disease,tuberculosis specialist,black people,stead,systemic difference,study,nursing homes,genetic susceptibility,common,tuberculosis,bacteria,prisons,health,likely
85,label,tuberculosis,black americans,whites,infectious diseases,tb bacteria,racial difference,racial difference,,,,,,,,,,,,,
86,multipartiterank,tiny third world businesses,microloans,years,loan sharks,group,favorable credit rating,world,enterprise lending,accion,market economics,clutches,many sovereign nations,development,repayment rates,bank,hard times,green revolution,money,security,new york agency trickle
86,label,microloans,favorable credit rating,repayment performance,tiny third world businesses,micro-enterprise lending,poverty lending,,,,,,,,,,,,,,
87,multipartiterank,earthquake,damage,solomon islands,major earthquake,islands,richter scale,quake,solomons,south pacific today,preliminary reading,area,stronger,saturday,magnitude earthquake,injury,australia,early seismograph readings,miles,increase,immediate reports
87,label,richter scale,solomon islands,major earthquakes,epicenter,widespread heavy damage,largest earthquake,earthquake monitors,,,,,,,,,,,,,
88,multipartiterank,atlantic hurricane season,robert sheets,today,hugo last year,sheets,dire warnings,hurricane gilbert,texas,hugo,hurricane,people,killer storms,caribbean,destructive storms,many coastal communities,years,south florida,maine,east,categories
88,label,atlantic hurricane season,destructive storms,hurricane emergency,coastal residents,predictions,hurricane activity,caribbean,hurricane gilbert,hugo,,,,,,,,,,,
89,multipartiterank,total solar eclipse,clay tablet,years,researchers,eclipse,scientists,tablet,ancient observers,oldest,reliable record,today,ugarit,edwin krupp,syria,analysis,time,march,university,new study,livers
89,label,solar eclipses,clay tablet,dutch scientists,syria,reliable record,ancient observers,,,,,,,,,,,,,,
90,multipartiterank,officers,gates,commission,police,source,derogatory messages,report,department,brutality,black people,chief,panel report,testimony,earlier incident,transcripts,los angeles times,numerous instances,police commission,civilian control,march
90,label,police brutality,excessive force,white police officers,minority suspects,investigation,racism,,,,,,,,,,,,,,
91,multipartiterank,mr gates,los angeles police department,police,office,brutal police forces,violence,poor black neighbourhoods,commission,investigation,community,attack,years,political scandals,rioting,week,beating,police conduct,detective,country,force
91,label,brutal police forces,violence,brutality complaints,police brutality,investigation,daryl gates,resignation,,,,,,,,,,,,,
92,multipartiterank,aids patients,tuberculosis,vaccine,sten vermund,resurgent epidemic,vermund,aids,remission,william haseltine,substantial number,available,inner cities,allergy,possible,recent advances,aids infection,james mullins,epidemic,aids epidemic,people
92,label,drugs,aids epidemic,remission,aids infection,aids vaccine,tuberculosis bacteria,,,,,,,,,,,,,,
93,multipartiterank,state constitutional amendment,right,arms,felons,maine legislators,edward brown,amendment,guns,perkins,possession,judge,citizens,charge,firearm,restrictions,cumberland,common defense,prosecutors,brown,criminal threatening
93,label,guns,constitutional amendment,felons,right,firearm,arms,maine constitution,restrictions,gun possession charge,criminal threatening,,,,,,,,,,
94,multipartiterank,liz taylor,taylor,la liz,liz,press,addiction,doctors,aids,hospital,rumors,drugs,reports,latest bout,giddy tabloids,intense scrutiny,life,pneumonia,ill,washington times,major fund
94,label,liz taylor,pneumonia,rumors,celebrity,st. john's hospital,addictions,,,,,,,,,,,,,,
95,multipartiterank,solar eclipse,orion telescope,box,thursday,eclipse,way people,bay area people tuesday,information,cupertino,minolta planetarium,solar viewing sessions,calls,safe,branham lane park,thousands,shadow,hours,observatories,glasses,scott wiener
95,label,solar eclipse,californians,eclipse viewers,partial eclipse,total eclipse,mexico,hawaii,,,,,,,,,,,,,
96,multipartiterank,earthquake,richter scale,last year,death toll,survey,magnitude,considerable damage,people,soviets,many,exact toll,injuries,deaths,scale,second,lives,main shock,recent,armenia,additional
96,label,armenian earthquake,earthquake death toll,offshore earthquakes,earthquake deaths,property damage,deadly earthquake,chinese earthquake,u.s. geological survey,,,,,,,,,,,,
97,multipartiterank,diabetes,latinos,heart disease,proper diet,davidson,effort,california,regular health care,insulin,year,los angeles metropolitan area,actual people,united states,interested physicians,anglos,likely,exercise,doctors,wider education,american diabetes assn
97,label,uncontrolled diabetes,blood pressure,latino diabetics,american indians,adult-onset diabetes,american diabetes assn.,diabetes complications,major diabetes risk factors,education efforts,,,,,,,,,,,
98,multipartiterank,office,anthony flores,oxnard police,ventura county district attorney,flores,separate incidents,arrest,district attorney,police report,cornett,gonzalez,charge,suspects,police brutality,department,edward brodie,complaints,luna,officer robert camarillo,police
98,label,forcible brutality,excessive force,police officers,police brutality,victims,arrest report,,,,,,,,,,,,,,
99,multipartiterank,william daley,mr clinton,nafta position,mr daley,chicago,general agreement,washington,chief adviser,nafta,younger brother,international trade arenas,congress,tangible supporter,labour,vote,back,core democratic constituencies,agreement,white house,free trade pact
99,label,north america free trade agreement,president bill clinton,free trade pact,william daley,grassroots opposition,labor groups,side agreements,congressional support,controversial battle,anti-nafta campaign,,,,,,,,,,
100,multipartiterank,partial solar eclipse visible,percent,moon tuesday,solar telescopes,sun,eclipse,western north america,sunspots,views,crowds,visible,silhouetted mountains,moon,people,partial eclipse,ed krupp,extent west,caltech,mst,least
100,label,solar telescopes,partial solar,solar eclipses,eye injuries,eye damage,north america,stunning view,,,,,,,,,,,,,
101,multipartiterank,third world,private enterprise,village banking,body blow,international community assistance,founder,john hatch,bootstrap economics,world poverty,,,,,,,,,,,
101,label,village banking,john hatch,private enterprise,third world,poverty vaccination,world poverty,,,,,,,,,,,,,,
102,multipartiterank,slovenia,croatia,war,slovenes,former yugoslavia,independence,southern border,homogeneous new republic,mr janez drnovsek,peaceful,costs,pronged coalition government,impoverished rest,yugoslav army,bosnia,rational market reforms,europe,federation,much,old yugoslavia
102,label,former yugoslavia,independence,rational market reforms,privatisation policies,slovene enterprises,normal economic ties,slovenian economy,former federation,slovene border,,,,,,,,,,,
103,multipartiterank,slovenia,yugoslavia,slovenian declaration,state,communists,republic,rival serbia,monday,full sovereignty,slovenian control,federal authorities,serbia,kosovo,independent legal system,years,declaration,first free state elections,armed forces,sovereignty,federal laws
103,label,full sovereignty,slovenian declaration,federal authorities,independent legal system,slovenian control,yugoslav republics,communist-ruled yugoslavia,troubled yugoslav federation,loose confederation,,,,,,,,,,,
104,multipartiterank,engine airplane,albuquerque,airplane,ramazzini,people,tuesday,crash,left turn,single,nearby coronado airport,ditch,witnesses,bodies,medical investigator,dirt road,first attempt,outskirts,wind,banks,left
104,label,crash site,single-engine airplane,crumpled airplane,investigation,rescue crews,albuquerque,victims,witnesses,,,,,,,,,,,,
105,multipartiterank,earthquake,strong quake,northern california,major earthquake,area,clarence allen,probability,magnitude,report,allen,severe damage,richter scale,highest probability,quake,san francisco bay area tuesday,southern santa cruz mountains,professor,region seismologists,percent,year
105,label,northern california,strong quake,richter scale,high probability,large earthquakes,earthquake center,widespread heavy damage,major earthquake,san francico bay area,,,,,,,,,,,
106,multipartiterank,wildland firefighters,fires,lungs,firefighters,smoke,health,year drought,new studies,california department,carbon monoxide,wildfires,years,routine season,state,crews,protection,researchers,nation,johns hopkins university school,cancer
106,label,wildfire smoke,poisonous stew,wildfires,unseen hazard,carbon monoxide,hazardous chemicals,california wildland firefighters,health services,fatal heart attacks,respiratory diseases,lung function,respiratory protection,,,,,,,,
107,multipartiterank,holiday weekend fires,fire,forest,acres,firefighters,california,utah,wilderness areas,yosemite national park,wyoming,montana,michigan,blaze,monday,miles,day rain,saturday,winds,mph,control
107,label,wildfires,firefighters,illegal fireworks,blaze,fires,national forest,,,,,,,,,,,,,,
108,multipartiterank,los angeles county district attorney,office,several physicians,report,painkillers,practices,addiction,elizabeth taylor,charges,friday,alternative means,investigation,therapy,allegations,district attorney,devoid,treatment,conduct,criminal intent,standard
108,label,actress elizabeth taylor,painkillers,investigation,ms. taylor,physicians,rehabilitation clinic,medical practice,,,,,,,,,,,,,
109,multipartiterank,end welfare,last year,mr clinton,president bill clinton,fatherless children,welfare,pledge,health care benefits,year,poor working families,jobs,grandiose promise,urban decay,administration,welfare mothers,dollars,election campaign,taxes,popular lines,year time limit
109,label,welfare reform,president bill clinton,federal assistance,welfare benefits,welfare problems,healthcare reform,deficit reduction,,,,,,,,,,,,,
